Question,Question Subject,Articles_Chunks,Answer
What are the requirements regarding dedicated data access interfaces?,Dedicated data access interfaces requirements.,6,"The requirements regarding dedicated data access interfaces include ensuring secure communication sessions between account servicing payment service providers, account information service providers, and payment initiation service providers. The interface must maintain the integrity and confidentiality of personalized security credentials and authentication codes. Additionally, the response time for access requests should match that of the interface available to payment service users. Account servicing payment service providers must also allow these service providers to identify themselves and initiate authentication based on user permission. Lastly, the dedicated interface should provide necessary confirmations regarding payment transaction availability and execution. 

Please also refer to: Article 36 - Requirements regarding dedicated data access interfaces."
What are the obligations for the unavailability of interfaces to perform payment transactions?,Obligations for payment interface unavailability.,6,"In the event of unavailability of the dedicated interface for payment transactions, account servicing payment service providers must inform the relevant payment service providers about the measures being taken to restore the interface and the estimated time for resolution. They are also required to provide an effective alternative solution for accessing payment account data without delay. If no alternative is offered, payment service providers can request authorization from the competent authority to access the interface used for authentication and communication. The competent authority may grant temporary access until the dedicated interface is restored. Account servicing payment service providers must take all necessary measures to prevent such unavailability from occurring. 

Please also refer to: Article 38, Title: Contingency measures for an unavailable dedicated interface."
What dashboard data should provide the servicing payment service providers?,Dashboard data for servicing payment service providers.,6,"The servicing payment service providers should provide a dashboard that allows payment service users to monitor and manage permissions for account information services or payment initiation services. This dashboard must include an overview of ongoing permissions, detailing the name of the service provider, the customer account, the purpose and validity of the permission, and the categories of data being shared. Additionally, it should enable users to withdraw or re-establish data access and maintain a record of permissions that have been withdrawn or expired for two years. The dashboard must be easily accessible and the information displayed should be clear and understandable. Please also refer to: Article 43, Data access management by payment service users."
What sensitive data measures have to be taken by the payment service providers?,Sensitive data measures for payment service providers.,6,"Payment service providers must implement transaction monitoring mechanisms that support strong customer authentication and enable the detection of potentially fraudulent transactions. They are required to process only the necessary data, such as payment transaction history and session data, while ensuring compliance with data protection principles like purpose limitation and data minimization. Additionally, they must not store sensitive payment data longer than necessary and should apply appropriate technical and organizational measures to safeguard this data. Providers may also share unique identifiers of payees with other providers when there is sufficient evidence of fraud, but must not retain this information longer than necessary. 

Please also refer to: Article 80 - Data protection, Article 83 - Transaction monitoring mechanisms and fraud data sharing."
Under which conditions funds maybe blocked in a payments account?,Conditions for blocking funds in payment accounts.,6,"Funds in a payment account may be blocked under specific conditions as outlined in Article 51, which states that a payment service provider can block a payment instrument for objectively justified reasons related to security, suspicion of unauthorized use, or increased risk of non-payment. Additionally, if a payment transaction's amount is not known in advance, funds can only be blocked if the payer has given permission for that specific amount, as per Article 61. The blocked amount must be proportional to the expected transaction amount, and the provider must release the funds immediately after receiving the exact transaction amount. The payment service provider is also required to inform the payer of the blocking and its reasons, unless security concerns prevent this. Please also refer to: Article 51 - Limits and blocking of the use of the payment instrument, Article 61 - Payment transactions where the transaction amount is not known in advance."
How many months after a fraud incident a user may notify for the event?,Fraud notification timeframe after incident.,6,"A user may notify their payment service provider of a fraud incident no later than 13 months after the debit date of the transaction. This timeframe applies to unauthorized, incorrectly executed, or authorized payment transactions. If the payment service provider has not provided the necessary information regarding the transaction, this time limit does not apply. Please also refer to: Article 54, Notification and rectification of unauthorised, authorised or incorrectly executed payment transactions."
Who has the burden to prove that a claimed fraud payment transaction was authorised?,Burden of proof for fraud transaction authorization.,3,"The burden to prove that a claimed fraudulent payment transaction was authorized lies with the payment service provider. If the transaction was initiated through a payment initiation service provider, then that provider must also prove the transaction's authorization within its sphere of competence. Additionally, simply using a payment instrument does not suffice to prove authorization or fraudulent intent by the payer; supporting evidence is required. If the payment service provider suspects fraud or gross negligence by the consumer, they must justify their refusal to refund. Please also refer to: Article 55, Evidence on authorisation and execution of payment transactions; Article 59, Payment service provider’s liability for impersonation fraud."
Who has the liability for the incorrect execution of payment transactions ? ,Liability for incorrect payment transactions execution.,6,"The liability for the incorrect execution of payment transactions primarily lies with the payer's payment service provider, unless it can prove that the payee's payment service provider received the payment correctly. In cases of non-execution or defective execution, the payer's payment service provider must refund the payer and restore the debited account to its prior state. Additionally, if a payment initiation service provider is involved, it may also bear liability for non-execution or defective execution. Ultimately, payment service providers are responsible for any charges or interest incurred by the payment service user due to these issues. 

Please also refer to: Article 75 - Payment service providers’ liability for non-execution, defective or late execution of payment transactions."
When a payer has liability for unauthorised payment transactions?,Payer liability for unauthorized payment transactions.,6,"A payer may be liable for unauthorized payment transactions under certain conditions. Specifically, if the unauthorized transaction results from the use of a lost or stolen payment instrument, the payer may bear losses up to EUR 50, unless they acted fraudulently or if the loss was not detectable prior to the transaction. Additionally, if the loss was caused by the actions of a payment service provider's employee or agent, the payer is not liable. However, if the payer acts fraudulently or fails to meet obligations intentionally or with gross negligence, they may bear all losses without the EUR 50 limit. Please also refer to: Article 60, Title: Payer’s liability for unauthorised payment transactions."
When strong customer authentication can be exempted?,Exemptions for strong customer authentication scenarios.,6,"Strong customer authentication can be exempted under certain conditions as specified in Article 89, which outlines the regulatory technical standards on authentication. Specifically, exemptions may apply based on the criteria laid down in Article 85(11). Additionally, strong customer authentication is only required for the first access to payment account data by an account information service provider unless there are reasonable grounds to suspect fraud (Article 86). For subsequent accesses, the account information service provider can apply its own strong customer authentication if at least 180 days have passed since the last application (Article 86). Please also refer to: Article 89, Title: Regulatory technical standards on authentication, communication and transaction monitoring mechanisms; Article 86, Title: Strong customer authentication in respect of payment initiation and account information services."
When can I claim my money of a fraudulent transaction?,Claiming money from fraudulent transactions timing.,6,"You can claim your money from a fraudulent transaction if you report the fraud to the police and notify your payment service provider without delay. The payment service provider is required to refund the full amount of the fraudulent transaction within 10 business days after being notified. However, if the provider suspects fraud or gross negligence on your part, they may refuse the refund and must justify their decision. Additionally, you must notify the provider of any unauthorized or incorrectly executed transactions within 13 months of the debit date. Please also refer to: Article 59 - Payment service provider’s liability for impersonation fraud, Article 54 - Notification and rectification of unauthorised, authorised or incorrectly executed payment transactions."
Who was Alexander the Great? ,"Historical figure, Macedonian king, military conqueror.",0,It seems that the question is not within the scope of the corpus
Has Alexander the Great to initiate a direct debit service and what actions he has to take for this initiation?,Alexander the Great and direct debit service initiation.,6,I don't know.
When America was discovered?,Discovery of America by Columbus in 1492.,0,It seems that the question is not within the scope of the corpus
What was the volume in unauthorized payemnt transactions in the United States of America in 2020?,"Unauthorized payment transactions volume in the USA, 2020.",6,I don't know.
Where is Paris?,Location of Paris.,0,It seems that the question is not within the scope of the corpus
Has the French government adopted a framework for the application of Direct Debits?,French government framework for Direct Debits application.,6,"The provided corpus does not specify whether the French government has adopted a framework for the application of Direct Debits. It discusses various articles related to payment services, including transparency, rights, and obligations, but does not confirm any specific actions taken by the French government. Therefore, I don't know."
