,Article_Topic,Article_Prefix,Article_Number,Article_Title,Chunk_Number,Chunk
10,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,10,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
5.	Title II, except for Article 13(1), point (b), Article 20, point (2)(e) and point (5)(h) and Article 24, point (a), and Title III, except for Article 28(2) and (3), Articles 62, 63 and 67, Article 69(1), and Articles 75 and 78, apply to payment transactions in all currencies where only one of the payment service providers is located within the Union, in respect to those parts of the payments transaction which are carried out in the Union.
6.	Member States may exempt institutions referred to in Article 2(5), points (4) to (23), of Directive 2013/36/EU from the application of all or part of the provisions of this Regulation."
11,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,11,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
6.	Member States may exempt institutions referred to in Article 2(5), points (4) to (23), of Directive 2013/36/EU from the application of all or part of the provisions of this Regulation. 
7.	By [ OP please insert the date= one year after the date of entry into force of this Regulation], the EBA shall issue Guidelines in accordance with Article 16 of Regulation (EU) No 1093/2010, addressed to the competent authorities designated under this Regulation, on the exclusion for payment transactions from the payer to the payee through a commercial agent referred to in paragraph 2, point (b) of this Article.
8.	The EBA shall develop draft Regulatory Technical Standards to specify the conditions of the exclusions referred to in paragraph 2, point (j). The EBA shall take into account the experience acquired in the application of the EBA guidelines of 24 February 2022 on the limited network exclusion under Directive (EU) 2015/2366."
12,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 2,2,Scope,12,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 2, Title: Scope
The EBA shall submit the Regulatory Technical Standards referred to in the first subparagraph to the Commission by [ OP please insert the date= one year after the date of entry into force of this Regulation]. Power is delegated on the Commission to adopt the Regulatory Technical Standards referred to in the first subparagraph in accordance with Articles 10 to 14 of Regulation (EU) No 1093/2010.
9.	Member States shall notify to the Commission the provisions of its law which it adopts pursuant to paragraph 6, by the date of application of this Regulation, and, without delay, any subsequent amendment affecting them."
13,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,13,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
For the purposes of this Regulation, the following definitions apply:
(1) ‘home Member State’ means either of the following:
(a)	the Member State in which the payment service provider has its registered office; or
(b)	if the payment service provider has, under its national law, no registered office, the Member State in which the payment service provider has its head office;
(2) ‘host Member State’ means the Member State other than the home Member State in which a payment service provider has an agent, a distributor or a branch or provides payment services;
(3) ‘payment service’ means any business activity set out in Annex I;
(4) ‘payment institution’ means a legal person that has been granted authorisation in accordance with Article 13 of Directive (EU) [PSD3] to provide payment services or electronic money services throughout the Union;"
14,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,14,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(5) ‘payment transaction’ means an act of placing, transferring or withdrawing funds, based on a payment order placed by the payer, or on his behalf, or by the payee, or on his behalf, irrespective of any underlying obligations between the payer and the payee;
(6) ‘initiation of a payment transaction’ means the steps necessary to prepare the execution of a payment transaction, including the placement of a payment order and the completion of the authentication process;
(7) ‘remote initiation of a payment transaction’ means a payment transaction for which a payment order is placed via the internet;
(8) ‘execution of a payment transaction’ means the process starting once the initiation of a payment transaction is completed and ending once the funds placed, withdrawn, or transferred are available to the payee;
(9) ‘payment system’ means a funds transfer system with formal and standardised arrangements and common rules for the processing, clearing or settlement of payment transactions;"
15,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,15,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(9) ‘payment system’ means a funds transfer system with formal and standardised arrangements and common rules for the processing, clearing or settlement of payment transactions;
(10) ‘payment system operator’ means the legal entity legally responsible for operating a payment system;
(11) ‘payer’ means a natural or legal person who holds a payment account and places a payment order from that payment account, or, where there is no payment account, a person who places a payment order;
(12) ‘payee’ means a natural or legal person  who is the intended recipient of funds which are the subject of a payment transaction;
(13) ‘payment service user’ means a natural or legal person making use of a payment service or of an electronic money service in the capacity of payer, payee, or both;
(14) ‘payment service provider’ means a body as referred to in Article 2(1) or a natural or legal person benefiting from an exemption pursuant to Articles 34, 36 and 38 of Directive (EU) [PSD3];"
16,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,16,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(14) ‘payment service provider’ means a body as referred to in Article 2(1) or a natural or legal person benefiting from an exemption pursuant to Articles 34, 36 and 38 of Directive (EU) [PSD3];
(15) ‘payment account’ means an account held by a payment service provider in the name of one or more payment service users which is used for the execution of one or more payment transactions and allows for sending and receiving funds to and from third parties;
(16) ‘payment order’ means an instruction by a payer or payee to its payment service provider requesting the execution of a payment transaction;
(17) ‘mandate’ means the expression of authorisation given by the payer to the payee and (directly or indirectly via the payee) to the payer’s payment service provider allowing the payee to initiate a payment transaction for debiting the payer’s specified payment account and to allow the payer’s payment service provider to comply with such instructions;"
17,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,17,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(18) ‘payment instrument’ means an individualised device or devices and/or set of procedures agreed between the payment service user and the payment service provider which enables the initiation of a payment transaction; 
(19) ‘account servicing payment service provider’ means a payment service provider providing and maintaining a payment account for a payer;
(20) ‘payment initiation service’ means a service to place a payment order at the request of the payer or of the payee with respect to a payment account held at another payment service provider;
(21) ‘account information service’ means an online service of collecting, either directly or through a technical service provider, and consolidating information held on one or more payment accounts of a payment service user with one or several account servicing payment service providers; 
(22) ‘payment initiation service provider’ means a payment service provider providing payment initiation services;"
18,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,18,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(22) ‘payment initiation service provider’ means a payment service provider providing payment initiation services;
(23) ‘account information service provider’ means a payment service provider providing account information services;
(24) ‘consumer’ means a natural person who, in payment service contracts covered by this Regulation, is acting for purposes other than his or her trade, business or profession;
(25) ‘framework contract’ means a payment service contract which governs the future execution of individual and successive payment transactions and which may contain the obligation and conditions for setting up a payment account;"
19,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,19,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(26) ‘money remittance’ means a payment service where funds are received from a payer, without any payment accounts being created in the name of the payer or the payee, for the sole purpose of transferring a corresponding amount to a payee or to another payment service provider acting on behalf of the payee, or where such funds are received on behalf of and made available to the payee;
(27) ‘direct debit’ means a payment service for debiting a payer’s payment account, where a payment transaction is initiated by the payee on the basis of a mandate given by the payer to the payee, to the payee’s payment service provider or to the payer’s own payment service provider;"
20,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,20,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(28) ‘credit transfer’ means a payment service, including instant credit transfers, for crediting a payee’s payment account with a payment transaction or a series of payment transactions from a payer’s payment account by the payment service provider which holds the payer’s payment account, based on an instruction given by the payer;
(29) ‘instant credit transfer’ means a credit transfer which is immediately executed, regardless of the day or hour; 
(30) ‘funds’ means central bank money issued for retail use, scriptural money and electronic money;
(31) ‘value date’ means a reference time used by a payment service provider for the calculation of interest on the funds debited from or credited to a payment account;
(32) ‘reference exchange rate’ means the exchange rate which is used as the basis to calculate any currency conversion cost and which is disclosed by the payment service provider or comes from a publicly available source;"
21,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,21,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(33) ‘reference interest rate’ means the interest rate which is used as the basis for calculating any interest to be applied and which comes from a publicly available source which can be verified by both parties to a payment service contract;
(34) ‘authentication’ means a procedure which allows the payment service provider to verify the identity of a payment service user or the validity of the use of a specific payment instrument, including the use of the user’s personalised security credentials;
(35) ‘strong customer authentication’ means an authentication which is based on the use of two or more elements categorised as knowledge (something only the user knows), possession (something only the user possesses) and inherence (something the user is) that are independent, in that the breach of one does not compromise the reliability of the others, and is designed in such a way as to protect the confidentiality of the authentication data;"
22,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,22,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(36) ‘technical service provider’ means a provider of services which support the provision of payment services, without entering at any time into possession of the funds to be transferred;
(37) ‘personalised security credentials’ means personalised features provided by the payment service provider to a payment service user for the purposes of authentication;
(38) ‘sensitive payment data’ means data which can be used to carry out fraud, including personalised security credentials;
(39) ‘unique identifier’ means a combination of letters, numbers or symbols specified by the payment service provider to the payment service user and to be provided by the payment service user to identify unambiguously another payment service user or the payment account of that other payment service user for a payment transaction;"
23,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,23,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(40)  ‘means of distance communication’ means a method which, without the simultaneous physical presence of the payment service provider and the payment service user, may be used for the conclusion of a payment services contract;
(41) ‘durable medium’ means any instrument which enables the payment service user to store information addressed personally to that payment service user in a way accessible for future reference for a period of time adequate to the purposes of the information and which allows the unchanged reproduction of the information stored;
(42) ‘microenterprise’ means an enterprise which at the time of conclusion of the payment service contract is an enterprise as defined in Article 1 and Article 2(1) and (3) of the Annex to Recommendation 2003/361/EC;
(43) ‘business day’ means a day on which the payment service provider of the payer or of the payee involved in the execution of a payment transaction is open for business to execute a payment transaction;"
24,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,24,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(44) ‘agent’ means a natural or legal person who acts on behalf of a payment institution in providing payment services, with the exclusion of electronic money services;
(45) ‘branch’ means a place of business other than the head office which is a part of a payment institution, which has no legal personality and which carries out directly some or all of the transactions inherent in the business of a payment institution; all of the places of business set up in the same Member State by a payment institution with a head office in another Member State shall be regarded as a single branch;"
25,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,25,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(46) ‘group’ means a group of undertakings that are linked to each other by a relationship as referred to in Article 22(1), points (2) or (7) of Directive 2013/34/EU of the European Parliament and of the Council3 or undertakings as referred to in Articles 4, 5, 6 and 7 of Commission Delegated Regulation (EU) No 241/20144, which are linked to each other by a relationship as referred to in Article 10(1) or Article 113(6), first subparagraph, or 113(7), first subparagraph of Regulation (EU) No 575/2013;
 (47) ‘digital content’ means goods or services which are produced and supplied in digital form, the use or consumption of which is restricted to a technical device and which do not include in any way the use or consumption of physical goods or services;
(48) ‘acquiring of payment transactions’ means a payment service provided by a payment service provider contracting with a payee to accept and process payment transactions, which results in a transfer of funds to the payee;"
26,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,26,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(49) ‘issuing of payment instruments’ means a payment service by a payment service provider contracting to provide a payer with a payment instrument to initiate and process the payer’s payment transactions;
(50) ‘electronic money’ means electronically, including magnetically, stored monetary value as represented by a claim on the issuer which is issued on the receipt of funds for the purpose of making payment transactions and which is accepted by other natural or legal persons than the issuer;
(51) ‘distributor’ means a natural or legal person that distributes or redeems electronic money on behalf of a payment institution;
(52) ‘electronic money services’ means the issuance of electronic money, the maintenance of payment accounts storing electronic money units, and the transfer of electronic money units;
(53) ‘commercial trade name’ means the name which is commonly used by the payee to identify itself to the payer;"
27,"SUBJECT MATTER, SCOPE AND DEFINITIONS",Article 3,3,Definitions,27,"Topic: SUBJECT MATTER, SCOPE AND DEFINITIONS, Article: 3, Title: Definitions
(53) ‘commercial trade name’ means the name which is commonly used by the payee to identify itself to the payer;
(54) ‘ATM deployer’ means operators of automated teller machines who do not service payment accounts.
(55)   ‘payment institution providing electronic money services’ means a payment institution which provides the services of issuance of electronic money, maintenance of payment accounts storing electronic money units, and transfer of electronic money units, whether or not it also provides any of the services referred to in Annex I.
TITLE II"
28,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 4,4,Scope,28,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 4, Title: Scope
1.	This Title applies to single payment transactions, framework contracts and payment transactions covered by those contracts. The parties to such single payment transactions, framework contracts and payment transactions covered by them may agree that this Title shall not apply in whole or in part where the payment service user is not a consumer.
2.	Member States may apply this Title to microenterprises in the same way as to consumers.
3.	Member States shall notify to the Commission the provisions of its law which it adopts pursuant to paragraph 2, by the date of application of this Regulation and, without delay, any subsequent amendment affecting them."
29,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 5,5,Currency and currency conversion,29,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 5, Title: Currency and currency conversion
1.	Payments shall be made in the currency agreed between the parties.
2.	Where a currency conversion service is offered prior to the initiation of the payment transaction and where that currency conversion service is offered at an ATM, at the point of sale or by the payee, the party offering the currency conversion service to the payer shall disclose to the payer all charges and the exchange rate to be used for converting the payment transaction.
3.	The payer shall be given the possibility to agree to the currency conversion service on that basis."
30,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 6,6,Information on additional charges or reductions,30,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 6, Title: Information on additional charges or reductions
1.	Where, for the use of a given payment instrument, the payee requests a charge or offers a reduction, the payee shall inform the payer thereof prior to the initiation of the payment transaction.
2.	Where, for the use of a given payment instrument, the payment service provider or another party involved in the transaction requests a charge, it shall inform the payment service user thereof prior to the initiation of the payment transaction.
3.	The payer shall only be obliged to pay for the charges referred to in paragraphs 1 and 2 if their full amount was made known prior to the initiation of the payment transaction."
31,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 7,7,Information requirements applicable to cash withdrawal services,31,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 7, Title: Information requirements applicable to cash withdrawal services
Natural or legal persons providing cash withdrawal services as referred to in Article 38 of Directive (EU) [PSD3] shall provide or make available to their customers information on any charges before the customer carries out the withdrawal as well as upon receipt of the cash when the transaction is completed."
32,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 8,8,Charges for information,32,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 8, Title: Charges for information
1.	Payment service providers shall not charge payment service users for providing information under this Title.
2.	Payment service providers and payment service users may agree on charges for additional or more frequent information, or transmission by means of communication other than those specified in the framework contract, provided at the payment service user’s request.
3.	Charges for information referred to in paragraph 2 shall be reasonable and in line with the payment service provider’s actual costs."
33,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 9,9,Burden of proof on information requirements,33,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 9, Title: Burden of proof on information requirements
The burden of proof shall lie with the payment service providers to prove that they have complied with the information requirements set out in this Title."
34,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 10,10,Derogation from information requirements for low-value payment instruments and electronic money,34,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 10, Title: Derogation from information requirements for low-value payment instruments and electronic money
In cases of payment instruments which, according to the relevant framework contract, concern only individual payment transactions that do not exceed EUR 50 or that either have a spending limit of EUR 200 or store funds that do not exceed EUR 200 at any time:
(a)	by way of derogation from Articles 19, 20 and 24, the payment service provider shall provide the payer only with information on the main characteristics of the payment service, including the way in which the payment instrument can be used, liability, charges levied and other material information needed for the payer to take an informed decision as well as an indication of where any other information and conditions specified in Article 20 are made available in an easily accessible manner;"
35,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 10,10,Derogation from information requirements for low-value payment instruments and electronic money,35,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 10, Title: Derogation from information requirements for low-value payment instruments and electronic money
(b)	it may be agreed by the parties to the framework contract that, by way of derogation from Article 22, the payment service provider is not required to propose changes to the conditions of the framework contract in the same way as provided for in Article 19(1);
(c)	it may be agreed by the parties to the framework contract that, by way of derogation from Articles 25 and 26, after the execution of a payment transaction:
(i)	the payment service provider provides or makes available only a reference enabling the payment service user to identify the payment transaction, the amount of the payment transaction, any charges or, in the case of several payment transactions of the same kind made to the same payee, information on the total amount and charges for those payment transactions;"
36,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 10,10,Derogation from information requirements for low-value payment instruments and electronic money,36,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 10, Title: Derogation from information requirements for low-value payment instruments and electronic money
(ii)	the payment service provider is not required to provide or make available information referred to in point (i) if the payment instrument is used anonymously or if the payment service provider is not otherwise technically in a position to provide it. The payment service provider shall provide the payer with a possibility to verify the amount of funds stored."
37,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules,Article 10,10,Derogation from information requirements for low-value payment instruments and electronic money,37,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES - General rules, Article: 10, Title: Derogation from information requirements for low-value payment instruments and electronic money
CHAPTER 2"
38,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES  - Single payment transactions,Article 11,11,Scope,38,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES  - Single payment transactions, Article: 11, Title: Scope
1.	This Chapter applies to single payment transactions not covered by a framework contract.
2.	Where a payment order for a single payment transaction is transmitted by a payment instrument covered by a framework contract, the payment service provider shall not be obliged to provide or make available information which is already given to the payment service user on the basis of a framework contract with another payment service provider or which will be given to the payment service user according to that framework contract."
39,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES  - Single payment transactions,Article 12,12,Prior general information,39,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES  - Single payment transactions, Article: 12, Title: Prior general information
1.	Before the payment service user is bound by a single payment service contract or offer, the payment service provider shall make available to the payment service user, in an easily accessible manner, the information and conditions set out in Article 13 with regard to its own services. At the payment service user’s request, the payment service provider shall provide the information and conditions on paper or on another durable medium. The information and conditions shall be given in easily understandable words and in a clear and comprehensible form, in an official language of the Member State where the payment service is offered or in any other language agreed between the parties."
40,TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES  - Single payment transactions,Article 12,12,Prior general information,40,"Topic: TRANSPARENCY OF CONDITIONS AND INFORMATION REQUIREMENTS FOR PAYMENT SERVICES  - Single payment transactions, Article: 12, Title: Prior general information
2.	If the single payment service contract has been concluded at the request of the payment service user using a means of distance communication which does not enable the payment service provider to comply with paragraph 1, the payment service provider shall fulfil its obligations under that paragraph immediately after the execution of the payment transaction.
3.	Payment service providers may also comply with their obligations under paragraph 1 by providing to payment service users a copy of the draft single payment service contract or the draft payment order including the information and conditions set out in Article 13."
